fullname,shortname,category,summary
HSD Physical Science  (12),SSPHYHS1,Teaching & Learning / Science,SSPHYHS1 

English B Standard (10),ENBSWA10,Teaching & Learning / English,ENBSWA10 

Arts (7),ARTS7,Teaching & Learning / Arts,ARTS7 

Arts (6),ARTS6,Teaching & Learning / Arts,ARTS6 

Language A Self Taught,LASELSH1112,Teaching & Learning / English,LASELSH1112 

HSD Global Studies (12),SSAMEHS1,Teaching & Learning / Humanities,SSAMEHS1 

HSD Library Skills (11),LIBRA00,Teaching & Learning / Others,LIBRA00 

English Intensive (10),ENGI10,Teaching & Learning / English,ENGI10 

Arts (9),ARTS9,Teaching & Learning / Arts,ARTS9 

Arts (8),ARTS8,Teaching & Learning / Arts,ARTS8 

Geography SL/HL (11/12),SSGEOSH1112,Teaching & Learning / Humanities,SSGEOSH1112 SSGEOSH1112 SSGEOSH1112 SSGEOSH1112 

Chinese A (6),CHIA6,Teaching & Learning / World Languages,CHIA6 

Mathematics Extended (9),MATEX9,Teaching & Learning / Math,MATEX9 

Hon Math Studies (11/12),MADHONSH1112,,MADHONSH1112 MADHONSH1112 

Material (9),TEMAT9,Teaching & Learning / Design,TEMAT9 

Physical Education (10),PHYED10,Teaching & Learning / Physical Education,PHYED10 

Hon Computer Science (11/12),COMHONSH1112,,COMHONSH1112 

Graphic Design (11),ARGRAHS1,Teaching & Learning / Arts,ARGRAHS1 

Design (8),DESIG8,Teaching & Learning / Design,DESIG8 

Design (9),DESIG9,Teaching & Learning / Design,DESIG9 

Music (9),ARMUS9,Teaching & Learning / Arts,ARMUS9 

Design (6),DESIG6,Teaching & Learning / Design,DESIG6 

Design (7),DESIG7,Teaching & Learning / Design,DESIG7 

IB English B SL/HL (11/12),LBENGSH1112,Teaching & Learning / English,LBENGSH1112 LBENGSH1112 LBENGSH1112 LBENGSH1112 

Hon Business and Management (11/12),BAMHONSH1112,,BAMHONSH1112 

Mathematics Standard (7),MATST7,Teaching & Learning / Math,MATST7 

Mathematics Standard (6),MATST6,Teaching & Learning / Math,MATST6 

Drama (9),DRAMA9,Teaching & Learning / Arts,DRAMA9 

IB Business and Management SL/HL (11/12),SSBAMSH1112,Teaching & Learning / Humanities,SSBAMSH1112 SSBAMSH1112 SSBAMSH1112 SSBAMSH1112 

English B Standard (9),ENGBS9,Teaching & Learning / English,ENGBS9 

English B Standard (8),ENGBS8,Teaching & Learning / English,ENGBS8 

English B Standard (7),ENGBS7,Teaching & Learning / English,ENGBS7 

English B Standard (6),ENGBS6,Teaching & Learning / English,ENGBS6 

Mathematics Standard (9),MATST9,Teaching & Learning / Math,MATST9 

Chinese A Literature SL/HL (11/12),CHILISH1112,Teaching & Learning / World Languages,CHILISH1112 CHILISH1112 CHILISH1112 CHILISH1112 

Chinese A (8),CHIA8,Teaching & Learning / World Languages,CHIA8 

IB English A Lang and Lit SL/HL (11/12),ENGLLSH1112,Teaching & Learning / English,ENGLLSH1112 ENGLLSH1112 ENGLLSH1112 ENGLLSH1112 

Mathematics Standard (8),MATST8,Teaching & Learning / Math,MATST8 

Chinese B Foundation (6),CHIBF6,Teaching & Learning / World Languages,CHIBF6 

English B Advanced (10),ENGBA10,Teaching & Learning / English,ENGBA10 

IB Psychology SL/HL (11/12),SSPSYSH1112,Teaching & Learning / Science,SSPSYSH1112 SSPSYSH1112 SSPSYSH1112 SSPSYSH1112 

Food (10),TEFOO10,Teaching & Learning / Design,TEFOO10 

Chinese A2 SL/HL (11/12),CHIA2SH1112,Teaching & Learning / World Languages,CHIA2SH1112 

Chinese A (7),CHIA7,Teaching & Learning / World Languages,CHIA7 

HSD Health and Wellness (11),PEHEAHS1,Teaching & Learning / Physical Education,PEHEAHS1 

IB Math Studies SL/HL(11/12),MASTUSH1112,Teaching & Learning / Math,MASTUSH1112 MASTUSH1112 MASTUSH1112 

Chinese B Foundation (9),CHIBF9,Teaching & Learning / World Languages,CHIBF9 

IB Mathematics SL/HL (11/12),MASTASH1112,Teaching & Learning / Math,MASTASH1112 MASTASH1112 

German A (10),GERA10,Teaching & Learning / World Languages,GERA10 

IB Mandarin B SL/HL (11/12),LBCHISH1112,Teaching & Learning / World Languages,LBCHISH1112 LBCHISH1112 LBCHISH1112 LBCHISH1112 

Graphics (9),ARGRA9,Teaching & Learning / Arts,ARGRA9 

Arts (10),ARTS10,Teaching & Learning / Arts,ARTS10 

Chinese B Advanced (9),CHIBA9,Teaching & Learning / World Languages,CHIBA9 

Chinese B Advanced (8),CHIBA8,Teaching & Learning / World Languages,CHIBA8 

IB German A Lang and Lit SL/HL (11/12),GERLLSH1112,Teaching & Learning / World Languages,GERLLSH1112 GERLLSH1112 GERLLSH1112 GERLLSH1112 

Computer (9),TECOM9,Teaching & Learning / Design,TECOM9 

IB Mandarin ab initio SL/HL(11/12),LBCHIASH1112,Teaching & Learning / World Languages,LBCHIASH1112 LBCHIASH1112 

Hon Economics (11/12),ECOHONSH1112,,ECOHONSH1112 

Chinese A (9),CHIA9,Teaching & Learning / World Languages,CHIA9 

Mathematics Support (10),MATSU10,Teaching & Learning / Math,MATSU10 

Chinese B Advanced (6),CHIBA6,Teaching & Learning / World Languages,CHIBA6 

Chinese B Advanced (10),CHIBA10,Teaching & Learning / World Languages,CHIBA10 

Chinese B Foundation (10),CHIBF10,Teaching & Learning / World Languages,CHIBF10 

Physical Education (7),PHYED7,Teaching & Learning / Physical Education,PHYED7 

Humanities (9),HUMAN9,Teaching & Learning / Humanities,HUMAN9 

Humanities (8),HUMAN8,Teaching & Learning / Humanities,HUMAN8 

Humanities (7),HUMAN7,Teaching & Learning / Humanities,HUMAN7 

Humanities (6),HUMAN6,Teaching & Learning / Humanities,HUMAN6 

Korean A (9),KORA9,Teaching & Learning / World Languages,KORA9 

Physical Education (8),PHYED8,Teaching & Learning / Physical Education,PHYED8 

English B HSD (12),LBENGHS2,Teaching & Learning / English,LBENGHS2 

English B HSD (11),LBENGHS1,Teaching & Learning / English,LBENGHS1 

Theory of Knowledge (11/12),IBTOKSH1112,Teaching & Learning / Others,IBTOKSH1112 IBTOKSH1112 

Korean A (6),KORA6,Teaching & Learning / World Languages,KORA6 

TOK Introduction and ESL Support,STDSWA10,Teaching & Learning / Others,STDSWA10 

Spanish B (7),SPAB7,Teaching & Learning / World Languages,SPAB7 

Spanish B (6),SPAB6,Teaching & Learning / World Languages,SPAB6 

Spanish B (9),SPAB9,Teaching & Learning / World Languages,SPAB9 

Spanish B (8),SPAB8,Teaching & Learning / World Languages,SPAB8 

Food (9),TEFOO9,Teaching & Learning / Design,TEFOO9 

Science (10),SCIWA10,Teaching & Learning / Science,SCIWA10 

Chinese A1 SL/HL (11/12),CHIA1SH1112,Teaching & Learning / World Languages,CHIA1SH1112 

IB Visual Arts SL/HL (11/12),ARVISSH1112,Teaching & Learning / Arts,ARVISSH1112 ARVISSH1112 ARVISSH1112 ARVISSH1112 

Study Skills (10),STDSKL10,Teaching & Learning / Others,STDSKL10 

Mathematics Support (6),MATSU6,Teaching & Learning / Math,MATSU6 

Mathematics Support (7),MATSU7,Teaching & Learning / Math,MATSU7 

IB Design Technology SL/HL (11/12),TEDESSH1112,Teaching & Learning / Design,TEDESSH1112 TEDESSH1112 TEDESSH1112 TEDESSH1112 

IB Mathematics SL/HL (11/12),MAHIGH1112,Teaching & Learning / Math,MAHIGH1112 MAHIGH1112 

Mathematics Support (8),MATSU8,Teaching & Learning / Math,MATSU8 

Mathematics Support (9),MATSU9,Teaching & Learning / Math,MATSU9 

English A1 SL/HL (11/12),ENGA1SH1112,Teaching & Learning / English,ENGA1SH1112 ENGA1SH1112 

HSD Biological Science (11),SSBIOHS1,Teaching & Learning / Humanities,SSBIOHS1 

Hon Biology (11/12),BIOHONSH1112,,BIOHONSH1112 BIOHONSH1112 

Food Technology (12),TEFOOHS1,Teaching & Learning / Design,TEFOOHS1 

Spanish B (10),SPAB10,Teaching & Learning / World Languages,SPAB10 

IB Chemistry SL/HL (11/12),SCCHESH1112,Teaching & Learning / Science,SCCHESH1112 SCCHESH1112 SCCHESH1112 SCCHESH1112 

English B Advanced (7),ENGBA7,Teaching & Learning / English,ENGBA7 

English B Advanced (6),ENGBA6,Teaching & Learning / English,ENGBA6 

Music (10),ARMUS10,Teaching & Learning / Arts,ARMUS10 

Environmental Systems SL/HL (11/12),SSENVSH1112,Teaching & Learning / Humanities,SSENVSH1112 SSENVSH1112 SSENVSH1112 

English B Advanced (9),ENGBA9,Teaching & Learning / English,ENGBA9 

English B Advanced (8),ENGBA8,Teaching & Learning / English,ENGBA8 

Mathematics Applications (11),MAAPPHS1,Teaching & Learning / Math,MAAPPHS1 

HSD Math Applications (12),MAAPPHS2,Teaching & Learning / Math,MAAPPHS2 

IB Spanish Ab initio SL/HL(11/12),LBSPAASH1112,Teaching & Learning / World Languages,LBSPAASH1112 LBSPAASH1112 

IB English A Literature SL/HL (11/12),ENGLISH1112,Teaching & Learning / English,ENGLISH1112 ENGLISH1112 ENGLISH1112 ENGLISH1112 

IB Japanese A Literature SL/HL (11/12),JAPLISH1112,Teaching & Learning / World Languages,JAPLISH1112 JAPLISH1112 JAPLISH1112 JAPLISH1112 

Korean A1 SL/HL (11/12),KORA1SH1112,Teaching & Learning / World Languages,KORA1SH1112 KORA1SH1112 

Homeroom (9),HROOM9,Teaching & Learning / Others,HROOM9 

Homeroom (8),HROOM8,Teaching & Learning / Others,HROOM8 

Hon Psychology (11/12),PSYHONSH1112,,PSYHONSH1112 

Homeroom (7),HROOM7,Teaching & Learning / Others,HROOM7 

Homeroom (6),HROOM6,Teaching & Learning / Others,HROOM6 

Mathematics Extended (10),MATEX10,Teaching & Learning / Math,MATEX10 

Chinese B Standard (7),CHIBS7,Teaching & Learning / World Languages,CHIBS7 

Chinese B Standard (6),CHIBS6,Teaching & Learning / World Languages,CHIBS6 

Korean A (8),KORA8,Teaching & Learning / World Languages,KORA8 

IB Music SL/HL (11/12),ARMUSSH1112,Teaching & Learning / Arts,ARMUSSH1112 ARMUSSH1112 ARMUSSH1112 ARMUSSH1112 

English A2 SL/HL (11/12),ENGA2SH1112,Teaching & Learning / English,ENGA2SH1112 ENGA2SH1112 ENGA2SH1112 

Korean A (7),KORA7,Teaching & Learning / World Languages,KORA7 

Chinese B Standard (9),CHIBS9,Teaching & Learning / World Languages,CHIBS9 

Chinese B Standard (8),CHIBS8,Teaching & Learning / World Languages,CHIBS8 

Study Skills (9),STDSKL9,Teaching & Learning / Others,STDSKL9 

Hon Korean A Literature (11/12),KRLHONSH1112,,KRLHONSH1112 KRLHONSH1112 

Hon Spanish ab initio (11/12),SPIHONSH1112,,SPIHONSH1112 

English B Foundation (6),ENGBF6,Teaching & Learning / English,ENGBF6 

English B Foundation (7),ENGBF7,Teaching & Learning / English,ENGBF7 

English B Standard (10),ENGBS10,Teaching & Learning / English,ENGBS10 

English B Foundation (8),ENGBF8,Teaching & Learning / English,ENGBF8 

IB Economics SL/HL (11/12),SSECOSH1112,Teaching & Learning / Humanities,SSECOSH1112 SSECOSH1112 SSECOSH1112 SSECOSH1112 

Hon Math SL/HL (11/12),MASHONSH1112,Teaching & Learning / Math,MASHONSH1112 MASHONSH1112 

